time [sec]	v(v_main) [V]	v(read) [V]	v(write) [V]	v(sel) [V]
0	1	0	0.999947	0
1e-17	1	0	0.999948	0
2e-17	1	0	0.999948	0
4e-17	1	0	0.999948	0
8e-17	1	0	0.999948	0
1.6e-16	1	0	0.999948	0
3.2e-16	1	0	0.999949	0
6.4e-16	1	0	0.999955	0
1.28e-15	1	0	0.999964	0
2.56e-15	1	0	0.999976	0
5.12e-15	1	0	0.999991	0
1.024e-14	1	0	1.00001	0
2.048e-14	1	0	1.00003	0
4.096e-14	1	0	1.00004	0
8.192e-14	1	0	1.00006	0
1.6384e-13	1	0	1.00008	0
3.2768e-13	1	0	1.0001	0
6.5536e-13	1	0	1.00012	0
1e-12	1	0	1.00013	0
1.01e-12	1	0.1	1.02516	0.1
1.03e-12	1	0.3	1.09118	0.3
1.07e-12	1	0.7	1.23482	0.7
1.1e-12	1	1	1.34862	1
1.108e-12	1	1	1.36345	1
1.124e-12	1	1	1.37711	1
1.156e-12	1	1	1.37671	1
1.22e-12	1	1	1.37637	1
1.348e-12	1	1	1.3744	1
1.60055e-12	1	1	1.37206	1
2.07375e-12	1	1	1.36623	1
3.02014e-12	1	1	1.35619	1
4.91293e-12	1	1	1.33484	1
8.6985e-12	1	1	1.29473	1
1.62696e-11	1	1	1.21628	1
3.14119e-11	1	1	1.05605	1
6.16965e-11	1	1	0.707493	1
1.22266e-10	1	1	0.279049	1
1.83107e-10	1	1	0.0789619	1
2.87495e-10	1	1	0.00220488	1
4.63867e-10	1	1	0.00340787	1
6.86262e-10	1	1	-0.000450982	1
9.22051e-10	1	1	0.000168722	1
1.341e-09	1	1	1.24143e-05	1
1.76715e-09	1	1	-0.000101358	1
2.26153e-09	1	1	0.00017808	1
3.06153e-09	1	1	-0.000191086	1
3.86153e-09	1	1	0.000229657	1
4.66153e-09	1	1	-0.000233091	1
5.0011e-09	1	1	0.00028055	1
5.00111e-09	1	0.9	-0.00863351	1
5.00113e-09	1	0.7	-0.0285191	1
5.00117e-09	1	0.3	-0.0671753	1
5.0012e-09	1	0	-0.0948198	1
